indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,32.7,27.8,38,27.8 - 38.0,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,25.4,23.9,26.9,23.9 - 26.9,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,25.6,24.4,26.9,24.4 - 26.9,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,17.6,16.8,18.4,16.8 - 18.4,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,37.3,32.4,42.4,32.4 - 42.4,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,30.6,29,32.3,29.0 - 32.3,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,33.5,32,35.1,32.0 - 35.1,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,27,26.3,27.8,26.3 - 27.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,45.4,40.3,50.5,40.3 - 50.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,36.7,35.2,38.2,35.2 - 38.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,38.5,36.9,40,36.9 - 40.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,30.7,29.8,31.5,29.8 - 31.5,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2,May 7 - May 12,31.4,25.9,37.3,25.9 - 37.3,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2,May 7 - May 12,27.1,24.9,29.4,24.9 - 29.4,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2,May 7 - May 12,26.5,25,28.1,25.0 - 28.1,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2,May 7 - May 12,17.2,16,18.3,16.0 - 18.3,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,2,May 7 - May 12,36.6,30.2,43.4,30.2 - 43.4,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,2,May 7 - May 12,32.8,30.4,35.3,30.4 - 35.3,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,2,May 7 - May 12,31.5,29.7,33.3,29.7 - 33.3,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2,May 7 - May 12,24.2,23.1,25.4,23.1 - 25.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2,May 7 - May 12,42.5,36.2,48.9,36.2 - 48.9,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2,May 7 - May 12,37.8,35.3,40.4,35.3 - 40.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2,May 7 - May 12,36.2,34.6,37.9,34.6 - 37.9,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,2,May 7 - May 12,27.5,26.3,28.7,26.3 - 28.7,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,3,May 14 - May 19,31.3,27.2,35.8,27.2 - 35.8,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,3,May 14 - May 19,27.8,26.1,29.5,26.1 - 29.5,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,3,May 14 - May 19,26.8,25.3,28.4,25.3 - 28.4,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,3,May 14 - May 19,17.3,16.3,18.3,16.3 - 18.3,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,3,May 14 - May 19,34.3,30.3,38.5,30.3 - 38.5,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,3,May 14 - May 19,30.5,28.7,32.4,28.7 - 32.4,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,3,May 14 - May 19,30.2,28.7,31.7,28.7 - 31.7,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,3,May 14 - May 19,22.7,21.7,23.6,21.7 - 23.6,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,3,May 14 - May 19,40.9,36.2,45.8,36.2 - 45.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,3,May 14 - May 19,37.6,36,39.3,36.0 - 39.3,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,3,May 14 - May 19,36.1,34.5,37.8,34.5 - 37.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,3,May 14 - May 19,26.4,25.3,27.5,25.3 - 27.5,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,4,May 21 - May 26,38.7,34,43.5,34.0 - 43.5,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,4,May 21 - May 26,26.6,25.1,28.1,25.1 - 28.1,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,4,May 21 - May 26,27.6,26.4,28.8,26.4 - 28.8,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,4,May 21 - May 26,17.3,16.5,18.2,16.5 - 18.2,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,4,May 21 - May 26,40.6,36.8,44.5,36.8 - 44.5,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,4,May 21 - May 26,29.5,27.9,31.1,27.9 - 31.1,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,4,May 21 - May 26,32.4,31.3,33.6,31.3 - 33.6,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,4,May 21 - May 26,23.7,22.9,24.6,22.9 - 24.6,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,4,May 21 - May 26,47.7,43.4,52.1,43.4 - 52.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,4,May 21 - May 26,35.3,33.6,37.1,33.6 - 37.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,4,May 21 - May 26,37.6,36.4,38.8,36.4 - 38.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,4,May 21 - May 26,27,26.1,27.9,26.1 - 27.9,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,5,May 28 - June 2,31.9,28.6,35.4,28.6 - 35.4,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,5,May 28 - June 2,27.8,26.3,29.5,26.3 - 29.5,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,5,May 28 - June 2,27.8,26.7,29,26.7 - 29.0,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,5,May 28 - June 2,18.6,17.7,19.6,17.7 - 19.6,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,5,May 28 - June 2,37.8,34.2,41.5,34.2 - 41.5,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,5,May 28 - June 2,31.4,29.8,32.9,29.8 - 32.9,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,5,May 28 - June 2,32.8,31.7,33.9,31.7 - 33.9,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,5,May 28 - June 2,25.9,25.1,26.8,25.1 - 26.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,5,May 28 - June 2,43.9,40.4,47.5,40.4 - 47.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,5,May 28 - June 2,36.7,35.1,38.3,35.1 - 38.3,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,5,May 28 - June 2,38.3,37.2,39.4,37.2 - 39.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,5,May 28 - June 2,29.4,28.5,30.3,28.5 - 30.3,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,6,June 4 - June 9,37.1,33.3,40.9,33.3 - 40.9,
