,indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
0,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,23.5,22.7,24.3,22.7 - 24.3,
1,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,32.7,30.2,35.2,30.2 - 35.2,
2,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,25.7,24.1,27.3,24.1 - 27.3,
3,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,24.8,23.3,26.2,23.3 - 26.2,
4,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,23.2,21.5,25,21.5 - 25.0,
5,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,18.4,17,19.7,17.0 - 19.7,
6,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,13.6,11.8,15.5,11.8 - 15.5,
7,Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,14.4,9,21.4,9.0 - 21.4,
8,Symptoms of Depressive Disorder,By Gender,United States,Male,1,Apr 23 - May 5,20.8,19.6,22,19.6 - 22.0,
9,Symptoms of Depressive Disorder,By Gender,United States,Female,1,Apr 23 - May 5,26.1,25.2,27.1,25.2 - 27.1,
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,29.4,26.8,32.1,26.8 - 32.1,
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,Apr 23 - May 5,21.4,20.6,22.1,20.6 - 22.1,
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,Apr 23 - May 5,25.6,23.7,27.5,23.7 - 27.5,
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,23.6,20.3,27.1,20.3 - 27.1,
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,28.3,24.8,32,24.8 - 32.0,
15,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,32.7,27.8,38,27.8 - 38.0,
16,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,25.4,23.9,26.9,23.9 - 26.9,
17,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,25.6,24.4,26.9,24.4 - 26.9,
18,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,17.6,16.8,18.4,16.8 - 18.4,
19,Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7
20,Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7
21,Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0
22,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,26.6,22.3,31.3,22.3 - 31.3,24.1 - 28.7
23,Symptoms of Depressive Disorder,By State,California,California,1,Apr 23 - May 5,25.4,22.5,28.6,22.5 - 28.6,24.1 - 28.7
24,Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,22,19.4,24.9,19.4 - 24.9,20.8 - 22.1
25,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,24.4,20.1,29.1,20.1 - 29.1,24.1 - 28.7
26,Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,21.1,17.6,24.9,17.6 - 24.9,20.8 - 22.1
27,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,26.4,22.1,31.1,22.1 - 31.1,24.1 - 28.7
28,Symptoms of Depressive Disorder,By State,Florida,Florida,1,Apr 23 - May 5,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
